Transcript_ID,KO_IDs,Pathway_IDs,Reaction_IDs,Module_Descriptions,Module_Groups,Module_Prefixes
NODE_26104_length_1880_cov_4964.413435_g4685_i1,petH; ferredoxin--NADP+ reductase [EC:1.18.1.2],Photosynthesis;Metabolic pathways,,,,
NODE_26108_length_1880_cov_278.439104_g12064_i0,E3.2.1.2; beta-amylase [EC:3.2.1.2],Starch and sucrose metabolism,"1,4-alpha-D-glucan maltohydrolase; Starch <=> Dextrin + Maltose;maltodextrin maltohydrolase; Maltodextrin + H2O <=> Maltose",,,
NODE_26111_length_1880_cov_180.358820_g8949_i1,"PSMD12, RPN5; 26S proteasome regulatory subunit N5",Proteasome;Epstein-Barr virus infection,,"Proteasome, 19S regulatory particle (PA700)",Proteasome,Genetic information processing
NODE_26115_length_1880_cov_139.874932_g9241_i3,SFH5; phosphatidylinositol transfer protein SFH5,,,,,
NODE_26121_length_1880_cov_79.113053_g12070_i0,"YARS, tyrS; tyrosyl-tRNA synthetase [EC:6.1.1.1]",Aminoacyl-tRNA biosynthesis,L-tyrosine:tRNA(Tyr) ligase (AMP-forming); ATP + L-Tyrosine + tRNA(Tyr) <=> AMP + Diphosphate + L-Tyrosyl-tRNA(Tyr),"Aminoacyl-tRNA biosynthesis, eukaryotes;Aminoacyl-tRNA biosynthesis, prokaryotes",Aminoacyl tRNA;Aminoacyl tRNA,Metabolism;Metabolism
NODE_26128_length_1880_cov_21.666849_g8641_i1,CYP736A; biphenyl-4-hydroxylase,,,,,
NODE_26134_length_1879_cov_1927.479235_g9565_i1,"glyA, SHMT; glycine hydroxymethyltransferase [EC:2.1.2.1]","Glycine, serine and threonine metabolism;Cyanoamino acid metabolism;Glyoxylate and dicarboxylate metabolism;One carbon pool by folate;Methane metabolism;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;map01130;Carbon metabolism;Biosynthesis of amino acids;Antifolate resistance","5,10-methylenetetrahydrofolate:glycine hydroxymethyltransferase; 5,10-Methylenetetrahydrofolate + Glycine + H2O <=> Tetrahydrofolate + L-Serine;5,10-methylenetetrahydromethanopterin:glycine hydroxymethyltransferase; L-Serine + 5,6,7,8-Tetrahydromethanopterin <=> 5,10-Methylenetetrahydromethanopterin + Glycine + H2O","C1-unit interconversion, prokaryotes;C1-unit interconversion, eukaryotes;Formaldehyde assimilation, serine pathway;Photorespiration",Cofactor and vitamin biosynthesis;Cofactor and vitamin biosynthesis;Methane metabolism;Other carbohydrate metabolism,Nucleotide and amino acid metabolism;Nucleotide and amino acid metabolism;Energy metabolism;Carbohydrate and lipid metabolism
NODE_26135_length_1879_cov_956.040984_g11680_i1,YWHAE; 14-3-3 protein epsilon;AP1G1; AP-1 complex subunit gamma-1,MAPK signaling pathway - yeast;Cell cycle;Oocyte meiosis;Lysosome;PI3K-Akt signaling pathway;Hippo signaling pathway;Hippo signaling pathway - fly;Neurotrophin signaling pathway;Epstein-Barr virus infection;Viral carcinogenesis,,,,
NODE_26144_length_1879_cov_80.301639_g12077_i0,"phnP; phosphoribosyl 1,2-cyclic phosphate phosphodiesterase [EC:3.1.4.55]",Phosphonate and phosphinate metabolism,"5-phospho-alpha-D-ribose 1,2-cyclic phosphate 2-phosphohydrolase (alpha-D-ribose 1,5-bisphosphate-forming); alpha-D-Ribose 1,2-cyclic phosphate 5-phosphate + H2O <=> D-Ribose 1,5-bisphosphate",,,
NODE_26148_length_1879_cov_41.095082_g10917_i1,HPAT; hydroxyproline O-arabinosyltransferase [EC:2.4.2.58],Other types of O-glycan biosynthesis,,,,
NODE_26156_length_1879_cov_25.334426_g12081_i0,"MYBP; transcription factor MYB, plant",,,,,
NODE_26162_length_1878_cov_213.469656_g12085_i0,KCS; 3-ketoacyl-CoA synthase [EC:2.3.1.199],Fatty acid elongation;Biosynthesis of secondary metabolites,acyl-CoA:malonyl-CoA C-acyltransferase (decarboxylating); Malonyl-CoA + Acyl-CoA <=> 3-Oxoacyl-CoA + CoA + CO2;very-long-chain acyl-CoA:malonyl-CoA C-acyltransferase (decarboxylating); Very-long-chain acyl-CoA + Malonyl-CoA <=> Very-long-chain 3-oxoacyl-CoA + CO2 + CoA,"Fatty acid biosynthesis, elongation, endoplasmic reticulum",Fatty acid metabolism,Carbohydrate and lipid metabolism
NODE_26164_length_1878_cov_177.458721_g10171_i2,"DCAF13, WDSOF1; DDB1- and CUL4-associated factor 13",,,,,
NODE_26168_length_1878_cov_80.705850_g12089_i0,"SLC35F5; solute carrier family 35, member F5",,,,,
NODE_26171_length_1878_cov_46.202843_g8774_i1,RGXT; rhamnogalacturonan II specific xylosyltransferase [EC:2.4.2.-],,,,,
NODE_26172_length_1878_cov_41.959541_g12091_i0,PPP1C; serine/threonine-protein phosphatase PP1 catalytic subunit [EC:3.1.3.16],mRNA surveillance pathway;cGMP-PKG signaling pathway;cAMP signaling pathway;Meiosis - yeast;Oocyte meiosis;Cellular senescence;Adrenergic signaling in cardiomyocytes;Vascular smooth muscle contraction;Hippo signaling pathway;Focal adhesion;Platelet activation;Long-term potentiation;Dopaminergic synapse;Inflammatory mediator regulation of TRP channels;Regulation of actin cytoskeleton;Insulin signaling pathway;Oxytocin signaling pathway;Insulin resistance;Amphetamine addiction;Alcoholism;Herpes simplex virus 1 infection;Proteoglycans in cancer,,,,
NODE_26174_length_1878_cov_25.937671_g12093_i0,PRI2; DNA primase large subunit,Purine metabolism;Pyrimidine metabolism;Metabolic pathways;DNA replication,deoxyadenosine 5'-triphosphate:DNA deoxynucleotidyltransferase (DNA-directed); dATP + DNA <=> Diphosphate + DNA;deoxyguanosine 5'-triphosphate:DNA deoxynucleotidyltransferase (DNA-directed); dGTP + DNA <=> Diphosphate + DNA;deoxycytidine triphosphate:DNA deoxynucleotidyltransferase (DNA-directed); dCTP + DNA <=> Diphosphate + DNA;deoxythymidine triphosphate:DNA deoxynucleotidyltransferase (DNA-directed); dTTP + DNA <=> Diphosphate + DNA,DNA polymerase alpha / primase complex,DNA polymerase,Genetic information processing
NODE_26177_length_1878_cov_14.730454_g12094_i0,"PTCD1; pentatricopeptide repeat domain-containing protein 1;LRPPRC; leucine-rich PPR motif-containing protein, mitochondrial",,,,,
NODE_26182_length_1877_cov_1209.989606_g9846_i2,TUBA; tubulin alpha,Phagosome;Apoptosis;Tight junction;Gap junction;Pathogenic Escherichia coli infection,,,,
NODE_26184_length_1877_cov_663.079869_g11262_i1,fabI; enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10],Fatty acid biosynthesis;Prodigiosin biosynthesis;Biotin metabolism;Metabolic pathways;map01130;Fatty acid metabolism,"acyl-[acyl-carrier protein]:NADP+ oxidoreductase; Acyl-[acyl-carrier protein] + NADP+ <=> trans-2,3-Dehydroacyl-[acyl-carrier protein] + NADPH + H+;butyryl-[acp]:NAD+ trans-2-oxidoreductase; Butyryl-[acp] + NAD+ <=> But-2-enoyl-[acyl-carrier protein] + NADH + H+;butyryl-[acp]:NADP+ trans-2-oxidoreductase; Butyryl-[acp] + NADP+ <=> But-2-enoyl-[acyl-carrier protein] + NADPH + H+;dodecanoyl-[acp]:NAD+ trans-2-oxidoreductase; Dodecanoyl-[acyl-carrier protein] + NAD+ <=> trans-Dodec-2-enoyl-[acp] + NADH + H+;dodecanoyl-[acp]:NADP+ trans-2-oxidoreductase; Dodecanoyl-[acyl-carrier protein] + NADP+ <=> trans-Dodec-2-enoyl-[acp] + NADPH + H+;hexanoyl-[acp]:NAD+ trans-2-oxidoreductase; Hexanoyl-[acp] + NAD+ <=> trans-Hex-2-enoyl-[acp] + NADH + H+;hexanoyl-[acp]:NADP+ trans-2-oxidoreductase; Hexanoyl-[acp] + NADP+ <=> trans-Hex-2-enoyl-[acp] + NADPH + H+;octanoyl-[acp]:NAD+ trans-2-oxidoreductase; Octanoyl-[acp] + NAD+ <=> trans-Oct-2-enoyl-[acp] + NADH + H+;octanoyl-[acp]:NADP+ trans-2-oxidoreductase; Octanoyl-[acp] + NADP+ <=> trans-Oct-2-enoyl-[acp] + NADPH + H+;decanoyl-[acp]:NAD+ trans-2-oxidoreductase; Decanoyl-[acp] + NAD+ <=> trans-Dec-2-enoyl-[acp] + NADH + H+;decanoyl-[acp]:NADP+ trans-2-oxidoreductase; Decanoyl-[acp] + NADP+ <=> trans-Dec-2-enoyl-[acp] + NADPH + H+;tetradecanoyl-[acp]:NAD+ trans-2-oxidoreductase; Tetradecanoyl-[acp] + NAD+ <=> trans-Tetradec-2-enoyl-[acp] + NADH + H+;tetradecanoyl-[acp]:NADP+ trans-2-oxidoreductase; Tetradecanoyl-[acp] + NADP+ <=> trans-Tetradec-2-enoyl-[acp] + NADPH + H+;hexadecanoyl-[acp]:NAD+ trans-2-oxidoreductase; Hexadecanoyl-[acp] + NAD+ <=> trans-Hexadec-2-enoyl-[acp] + NADH + H+;hexadecanoyl-[acp]:NADP+ trans-2-oxidoreductase; Hexadecanoyl-[acp] + NADP+ <=> trans-Hexadec-2-enoyl-[acp] + NADPH + H+;octadecanoyl-[acp]:NAD+ trans-2-oxidoreductase; (2E)-Octadecenoyl-[acp] + NADH + H+ <=> Octadecanoyl-[acyl-carrier protein] + NAD+;glutaryl-[acp]-methyl-ester:NADP+ oxidoreductase; Enoylglutaryl-[acp] methyl ester + NADPH + H+ <=> Glutaryl-[acp] methyl ester + NADP+;pimelyl-[acyl-carrier protein]-methyl-ester:NADP+ oxidoreductase; Enoylpimeloyl-[acp] methyl ester + NADPH + H+ <=> Pimeloyl-[acyl-carrier protein] methyl ester + NADP+;Malonyl-CoA + Acetyl-CoA <=> Dodecanoyl-[acyl-carrier protein]","Fatty acid biosynthesis, elongation;M00572",Fatty acid metabolism;,Carbohydrate and lipid metabolism;
NODE_26186_length_1877_cov_410.588074_g3491_i1,"RP-S12e, RPS12; small subunit ribosomal protein S12e",Ribosome,,"Ribosome, eukaryotes",Ribosome,Genetic information processing
NODE_26189_length_1877_cov_206.668490_g12101_i0,"PTBP2, NPTB; polypyrimidine tract-binding protein 2",,,,,
NODE_26191_length_1877_cov_197.877462_g12103_i0,STX5; syntaxin 5,SNARE interactions in vesicular transport,,,,
NODE_26193_length_1877_cov_107.497812_g12105_i0,"PNO1, DIM2; RNA-binding protein PNO1",,,,,
NODE_26204_length_1877_cov_21.166302_g12110_i0,"EXOC7, EXO70; exocyst complex component 7",Insulin signaling pathway,,,,
NODE_26221_length_1876_cov_72.393541_g12115_i0,PEP4; saccharopepsin [EC:3.4.23.25],Autophagy - yeast,,,,
NODE_26223_length_1876_cov_65.316366_g12117_i0,PEO1; twinkle protein [EC:5.6.2.3],,,,,
NODE_26224_length_1876_cov_65.033388_g10969_i1,"CUGBP, BRUNOL, CELF; CUG-BP- and ETR3-like factor",,,,,
NODE_26225_length_1876_cov_60.224412_g12118_i0,FBXL7; F-box and leucine-rich repeat protein 7,,,,,
NODE_26226_length_1876_cov_58.287356_g12119_i0,RPS2; disease resistance protein RPS2,Plant-pathogen interaction,,,,
NODE_26227_length_1876_cov_50.171319_g11830_i1,"RBMX, HNRNPG; heterogeneous nuclear ribonucleoprotein G",Spliceosome,,,,
NODE_26228_length_1876_cov_49.536946_g10835_i1,"SNUPN, RNUT1; snurportin-1",Nucleocytoplasmic transport,,,,
NODE_26233_length_1876_cov_26.065681_g12121_i0,otsB; trehalose 6-phosphate phosphatase [EC:3.1.3.12],Starch and sucrose metabolism;Metabolic pathways,"trehalose-6-phosphate phosphohydrolase; alpha,alpha'-Trehalose 6-phosphate + H2O <=> alpha,alpha-Trehalose + Orthophosphate",,,
NODE_26234_length_1876_cov_23.026820_g12122_i0,ZDHHC; palmitoyltransferase [EC:2.3.1.225];ZDHHC6; palmitoyltransferase ZDHHC6 [EC:2.3.1.225],,,,,
NODE_26237_length_1876_cov_16.022441_g12124_i0,"GN5_6; glucan endo-1,3-beta-glucosidase 5/6 [EC:3.2.1.39]",Starch and sucrose metabolism,"1,3-beta-D-glucan glucanohydrolase; 1,3-beta-D-Glucan + H2O <=> D-Glucose + 1,3-beta-D-Glucan",,,
NODE_26241_length_1876_cov_2.464696_g12128_i0,BRD9; bromodomain-containing protein 9,,,,,
NODE_26243_length_1875_cov_965.452355_g10551_i1,CYP73A; trans-cinnamate 4-monooxygenase [EC:1.14.14.91],"Ubiquinone and other terpenoid-quinone biosynthesis;Phenylalanine metabolism;Phenylpropanoid biosynthesis;Flavonoid biosynthesis;Stilbenoid, diarylheptanoid and gingerol biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;Degradation of aromatic compounds","trans-cinnamate,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (4-hydroxylating); trans-Cinnamate + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> 4-Coumarate + [Oxidized NADPH---hemoprotein reductase] + H2O;cinnamoyl-CoA,[reduced NADPH---hemoprotein reductase]:oxygen oxidoreductase (4-hydroxylating); Cinnamoyl-CoA + [Reduced NADPH---hemoprotein reductase] + Oxygen <=> p-Coumaroyl-CoA + [Oxidized NADPH---hemoprotein reductase] + H2O","Lignin biosynthesis, cinnamate => lignin;Flavonoid biosynthesis, 4-coumaroyl-CoA => naringenin => apigenin;Capsaicin biosynthesis, L-Phenylalanine => Capsaicin",Phenylpropanoid and flavonoid biosynthesis;Phenylpropanoid and flavonoid biosynthesis;Aromatic amino acid metabolism,Nucleotide and amino acid metabolism;Nucleotide and amino acid metabolism;Nucleotide and amino acid metabolism
NODE_26244_length_1875_cov_427.481928_g12129_i0,CFL; cofilin,Axon guidance;Fc gamma R-mediated phagocytosis;Regulation of actin cytoskeleton;Pertussis,,,,
NODE_26245_length_1875_cov_345.118291_g12130_i0,trpB; tryptophan synthase beta chain [EC:4.2.1.20],"Glycine, serine and threonine metabolism;Phenylalanine, tyrosine and tryptophan biosynthesis;Metabolic pathways;Biosynthesis of secondary metabolites;map01130;Biosynthesis of amino acids","L-serine hydro-lyase (adding indole; L-tryptophan-forming); L-Serine + Indole <=> L-Tryptophan + H2O;(1S,2R)-1-C-(indol-3-yl)glycerol 3-phosphate D-glyceraldehyde-3-phosphate-lyase; Indoleglycerol phosphate <=> Indole + D-Glyceraldehyde 3-phosphate;L-serine hydro-lyase [adding 1-C-(indol-3-yl)glycerol 3-phosphate; L-tryptophan and glyceraldehyde-3-phosphate-forming]; L-Serine + Indoleglycerol phosphate <=> L-Tryptophan + D-Glyceraldehyde 3-phosphate + H2O","Tryptophan biosynthesis, chorismate => tryptophan",Aromatic amino acid metabolism,Nucleotide and amino acid metabolism
NODE_26257_length_1875_cov_32.461665_g12135_i0,RPS2; disease resistance protein RPS2,Plant-pathogen interaction,,,,
NODE_26258_length_1875_cov_7.523001_g12136_i0,KCS; 3-ketoacyl-CoA synthase [EC:2.3.1.199],Fatty acid elongation;Biosynthesis of secondary metabolites,acyl-CoA:malonyl-CoA C-acyltransferase (decarboxylating); Malonyl-CoA + Acyl-CoA <=> 3-Oxoacyl-CoA + CoA + CO2;very-long-chain acyl-CoA:malonyl-CoA C-acyltransferase (decarboxylating); Very-long-chain acyl-CoA + Malonyl-CoA <=> Very-long-chain 3-oxoacyl-CoA + CO2 + CoA,"Fatty acid biosynthesis, elongation, endoplasmic reticulum",Fatty acid metabolism,Carbohydrate and lipid metabolism
NODE_26260_length_1875_cov_5.877327_g12138_i0,"SLC15A3_4, PHT, NPF8; solute carrier family 15 (peptide/histidine transporter), member 3/4",,,,,
NODE_26264_length_1874_cov_241.784110_g12139_i0,ACP7; acid phosphatase type 7,,,,,
NODE_26268_length_1874_cov_206.671233_g11078_i1,"NSFL1C, UBX1, SHP1; UBX domain-containing protein 1",Protein processing in endoplasmic reticulum,,,,
NODE_26277_length_1874_cov_29.480000_g12146_i0,"SLC35D1_2_3; solute carrier family 35, member D1/2/3",,,,,
NODE_26284_length_1873_cov_3335.322368_g9868_i1,"ALDO; fructose-bisphosphate aldolase, class I [EC:4.1.2.13]",Glycolysis / Gluconeogenesis;Pentose phosphate pathway;Fructose and mannose metabolism;Methane metabolism;Carbon fixation by Calvin cycle;Metabolic pathways;Biosynthesis of secondary metabolites;Microbial metabolism in diverse environments;map01130;Carbon metabolism;Biosynthesis of amino acids,"D-fructose-1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase (glycerone-phosphate-forming); D-Fructose 1,6-bisphosphate <=> Glycerone phosphate + D-Glyceraldehyde 3-phosphate;beta-D-fructose-1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase (glycerone-phosphate-forming); beta-D-Fructose 1,6-bisphosphate <=> Glycerone phosphate + D-Glyceraldehyde 3-phosphate;sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase; Sedoheptulose 1,7-bisphosphate <=> Glycerone phosphate + D-Erythrose 4-phosphate;D-fructose 1-phosphate D-glyceraldehyde-3-phosphate-lyase; D-Fructose 1-phosphate <=> Glycerone phosphate + D-Glyceraldehyde","Glycolysis (Embden-Meyerhof pathway), glucose => pyruvate;Gluconeogenesis, oxaloacetate => fructose-6P;Reductive pentose phosphate cycle (Calvin cycle);Reductive pentose phosphate cycle, glyceraldehyde-3P => RuBP",Central carbohydrate metabolism;Central carbohydrate metabolism;Carbon fixation;Carbon fixation,Carbohydrate and lipid metabolism;Carbohydrate and lipid metabolism;Energy metabolism;Energy metabolism
NODE_26286_length_1873_cov_547.076206_g7501_i6,"ASK6_7_9, BIN2; shaggy-related protein kinase (protein brassinosteroid insensitive 2) [EC:2.7.11.1]",Plant hormone signal transduction,,,,
NODE_26288_length_1873_cov_314.397478_g11489_i1,ARFGAP2_3; ADP-ribosylation factor GTPase-activating protein 2/3,Endocytosis,,,,
NODE_26292_length_1873_cov_219.315241_g9788_i2,SETD3; protein-histidine N-methyltransferase [EC:2.1.1.85],Lysine degradation,"Protein lysine + S-Adenosyl-L-methionine <=> Protein N6-methyl-L-lysine + S-Adenosyl-L-homocysteine;S-adenosyl-L-methionine:cytochrome-c-L-lysine N6-methyltransferase; S-Adenosyl-L-methionine + Protein N6-methyl-L-lysine <=> S-Adenosyl-L-homocysteine + Protein N6,N6-dimethyl-L-lysine;S-adenosyl-L-methionine:cytochrome-c-L-lysine N6-methyltransferase; S-Adenosyl-L-methionine + Protein N6,N6-dimethyl-L-lysine <=> S-Adenosyl-L-homocysteine + Protein N6,N6,N6-trimethyl-L-lysine",,,
NODE_26299_length_1873_cov_105.054825_g12153_i0,cysC; adenylylsulfate kinase [EC:2.7.1.25],Purine metabolism;Sulfur metabolism;Metabolic pathways;Microbial metabolism in diverse environments,ATP:adenylylsulfate 3'-phosphotransferase; ATP + Adenylyl sulfate <=> ADP + 3'-Phosphoadenylyl sulfate;ATP:adenylylsulfate 3'-phosphotransferase; ATP + Adenylylselenate <=> ADP + 3'-Phosphoadenylylselenate,"Sulfur reduction, sulfate => H2S",Sulfur metabolism,Energy metabolism
NODE_26303_length_1873_cov_31.746711_g12156_i0,"KCNKF; potassium channel subfamily K, other eukaryote",,,,,
NODE_26309_length_1873_cov_11.951206_g12160_i0,"ABCC2; ATP-binding cassette, subfamily C (CFTR/MRP), member 2",Antifolate resistance;Platinum drug resistance;ABC transporters;Bile secretion,,,,
NODE_26310_length_1873_cov_8.524123_g12021_i1,NXN; nucleoredoxin [EC:1.8.1.8],,,,,
NODE_26317_length_1872_cov_281.543061_g12162_i0,PCBP3_4; poly(rC)-binding protein 3/4,,,,,
NODE_26320_length_1872_cov_125.190346_g12164_i0,"USP7, UBP15; ubiquitin carboxyl-terminal hydrolase 7 [EC:3.4.19.12]",FoxO signaling pathway;Herpes simplex virus 1 infection;Epstein-Barr virus infection;Viral carcinogenesis,,,,
NODE_26335_length_1871_cov_340.829857_g8170_i2,"FARSA, pheS; phenylalanyl-tRNA synthetase alpha chain [EC:6.1.1.20]",Aminoacyl-tRNA biosynthesis,L-phenylalanine:tRNA(Ala) ligase (AMP-forming); ATP + L-Phenylalanine + tRNA(Phe) <=> AMP + Diphosphate + L-Phenylalanyl-tRNA(Phe),"Aminoacyl-tRNA biosynthesis, eukaryotes;Aminoacyl-tRNA biosynthesis, prokaryotes",Aminoacyl tRNA;Aminoacyl tRNA,Metabolism;Metabolism
NODE_26339_length_1871_cov_115.900659_g12173_i0,lepB; signal peptidase I [EC:3.4.21.89],Quorum sensing;Protein export,,,,
NODE_2633_length_4250_cov_50.215901_g1194_i1,"NRT2, narK, nrtP, nasA; MFS transporter, NNP family, nitrate/nitrite transporter;TRAPPC11; trafficking protein particle complex subunit 11",Nitrogen metabolism,,M00615,,
NODE_26340_length_1871_cov_115.407794_g12174_i0,CCDC55; coiled-coil domain-containing protein 55,,,,,
NODE_26346_length_1871_cov_27.631175_g2373_i1,SENP1; sentrin-specific protease 1 [EC:3.4.22.68],,,,,
NODE_26359_length_1870_cov_207.393191_g12181_i0,"MYBP; transcription factor MYB, plant",,,,,
NODE_2635_length_4249_cov_9.467143_g1202_i1,KIF18A; kinesin family member 18A,,,,,
NODE_26363_length_1870_cov_160.133443_g10607_i2,SCPEP1; serine carboxypeptidase 1 [EC:3.4.16.-],,,,,
NODE_26365_length_1870_cov_118.827018_g12183_i0,"IVD, ivd; isovaleryl-CoA dehydrogenase [EC:1.3.8.4]","Valine, leucine and isoleucine degradation;Metabolic pathways","3-methylbutanoyl-CoA:electron-transfer flavoprotein 2,3-oxidoreductase; 3-Methylbutanoyl-CoA + FAD <=> 3-Methylcrotonyl-CoA + FADH2","Leucine degradation, leucine => acetoacetate + acetyl-CoA",Branched-chain amino acid metabolism,Nucleotide and amino acid metabolism
NODE_26366_length_1870_cov_109.792971_g233_i2,"PTBP2, NPTB; polypyrimidine tract-binding protein 2",,,,,
NODE_26367_length_1870_cov_106.803405_g12184_i0,"CTU1, NCS6; cytoplasmic tRNA 2-thiolation protein 1 [EC:2.7.7.-]",Sulfur relay system,,,,
NODE_26369_length_1870_cov_72.294344_g12186_i0,RAB11A; Ras-related protein Rab-11A,Endocytosis;Endocrine and other factor-regulated calcium reabsorption;Vasopressin-regulated water reabsorption;Pancreatic secretion,,,,
NODE_26380_length_1870_cov_8.380011_g12192_i0,"EXOC7, EXO70; exocyst complex component 7",Insulin signaling pathway,,,,
